feature	pagel_lam_mle
feature_1	0.9375
feature_2	0.9375
feature_3	0.9375
feature_4	0.937499999999999
feature_5	0.937499999999999
feature_6	0.9375
feature_7	0.937500000000001
feature_8	0.937500000000005
feature_9	0.937500000000001
feature_10	0.937500000000001
feature_11	0.9375
feature_12	0.9375
feature_13	0.9375
feature_14	0.9375
feature_15	0.9375
feature_16	0.937500000000004
feature_17	0.937500000000001
feature_18	0.9375
feature_19	0.9375
feature_20	0.9375
feature_21	0.9375
feature_22	0.937500000000002
feature_23	0.937500000000001
feature_24	0.937500000000003
feature_25	0.9375
feature_26	0.9375
feature_27	0.937500000000002
feature_28	0.937500000000001
feature_29	0.9375
feature_30	0.9375
