group	sample	color
group1	t13	orange
group1	t26	orange
group1	t40	orange
group2	t17	blue
group2	t20	blue
group2	t5	blue
group2	t36	blue
group2	t3	blue
group2	t1	blue
group2	t30	blue
group2	t28	blue
group2	t38	blue
group2	t43	blue
group2	t9	blue
group2	t48	blue
group2	t31	blue
group2	t15	blue
group2	t27	blue
group2	t12	blue
group2	t16	blue
group2	t11	blue
group2	t23	blue
group2	t21	blue
group2	t34	blue
group2	t32	blue
group2	t14	blue
group2	t42	blue
group2	t29	blue
group2	t24	blue
group2	t49	blue
group2	t2	blue
group2	t33	blue
group2	t50	blue
group2	t46	blue
group2	t35	blue
group2	t10	blue
group2	t22	blue
group2	t4	blue
group2	t37	blue
group2	t19	blue
group2	t39	blue
group2	t18	blue
group2	t45	blue
group2	t47	blue
group2	t7	blue
group2	t41	blue
group2	t25	blue
group2	t6	blue
group2	t8	blue
group2	t44	blue
